AC,label-val,cluster
3SYW_A,0,0.0
3SYW_B,0,0.0
3SZX_A,0,0.0
3SZX_B,0,0.0
3TZR_A,0,2.0
3TZR_B,0,2.0
3VRS_A,0,2.0
4EN5_A,0,2.0
4ENC_A,0,2.0
3WRU_A,0,4.0
3WRU_B,0,4.0
4GPY_A,0,4.0
4GPY_B,0,4.0
4PDQ_A,0,4.0
4PDQ_B,0,4.0
5Z1H_A,0,4.0
5Z1H_B,0,4.0
6JBF_A,0,4.0
6JBF_B,0,4.0
6JBF_C,0,4.0
6JBF_D,0,4.0
6JBG_C,0,4.0
6JBG_D,0,4.0
402D_B,0,0.0
402D_A,0,0.0
413D_A,0,2.0
420D_B,0,0.0
420D_A,0,0.0
422D_B,0,2.0
422D_A,0,2.0
433D_B,0,0.0
433D_A,0,0.0
434D_A,0,2.0
434D_C,0,2.0
464D_A,0,2.0
464D_C,0,2.0
466D_A,0,2.0
466D_C,0,2.0
4U37_A,0,2.0
4U38_A,0,2.0
4U38_C,0,2.0
4U38_E,0,2.0
4U38_G,0,2.0
5TKO_A,0,2.0
5TKO_C,0,2.0
434D_B,0,0.0
434D_D,0,0.0
435D_B,0,0.0
435D_D,0,0.0
466D_B,0,0.0
466D_D,0,0.0
435D_C,0,1.0
435D_A,0,1.0
438D_B,0,1.0
438D_A,0,1.0
439D_A,0,0.0
439D_B,0,1.0
472D_A,0,4.0
472D_B,0,0.0
488D_B,0,1.0
488D_C,0,4.0
4C40_A,0,0.0
4CS1_A,0,0.0
5FJ0_A,0,0.0
5FJ0_B,0,0.0
5FJ0_C,0,0.0
4E48_A,0,1.0
4E48_B,0,1.0
4E48_D,0,1.0
4E59_B,0,4.0
4E59_A,0,4.0
4E5C_B,0,4.0
4E5C_A,0,4.0
4E6B_B,0,1.0
4E6B_A,0,1.0
4E6B_F,0,2.0
4E6B_E,0,2.0
4E8K_B,0,4.0
4FAW_B,0,0.0
4E8T_B,0,0.0
4FNJ_A,0,1.0
4FRG_X,0,2.0
4FRG_B,0,2.0
4FRN_B,0,4.0
4FRN_A,0,4.0
4GPW_A,0,1.0
4GPW_B,0,1.0
4GPX_A,0,1.0
4GPX_B,0,1.0
4J50_A,0,0.0
4J50_B,0,0.0
4YN6_A,0,0.0
4YN6_B,0,0.0
4JAB_B,0,2.0
4JAB_A,0,2.0
4JIY_A,0,4.0
4JRD_A,0,4.0
4JRD_B,0,2.0
4JRT_A,0,4.0
4JRT_B,0,1.0
4K27_U,0,2.0
4K31_B,0,4.0
4K31_C,0,4.0
4K32_A,0,4.0
4K32_B,0,4.0
A,0,1.0
4KYY_B,0,0.0
4KYY_A,0,0.0
4KZ2_A,0,1.0
4KZ2_B,0,2.0
4KZ2_C,0,1.0
4L81_A,0,2.0
4OQU_A,0,2.0
4LVV_A,0,0.0
3SD3_A,0,0.0
4LVW_A,0,0.0
4LVX_A,0,0.0
4LVY_A,0,0.0
4LVZ_A,0,0.0
4LW0_A,0,0.0
6Q57_A,0,0.0
7KD1_A,0,0.0
4MCE_A,0,1.0
4MCE_C,0,1.0
4MCF_A,0,1.0
4MCF_C,0,1.0
4MCF_E,0,1.0
4MCF_G,0,1.0
4MCE_B,0,3.0
4MCE_D,0,3.0
4MCF_B,0,3.0
4MCF_D,0,3.0
4MCF_F,0,3.0
4MCF_H,0,3.0
4MEG_B,0,2.0
3B4B_B,0,2.0
