,AC,label-val,cluster,max_ident_other,closest_other
0,3SYW_A,0,0.0,0.55,280D_A
1,3SYW_B,0,0.0,0.55,280D_A
2,3SZX_A,0,0.0,0.55,280D_A
3,3SZX_B,0,0.0,0.55,280D_A
4,3TZR_A,0,2.0,0.75,2NOK_A
5,3TZR_B,0,2.0,0.722,1T0E_A
6,3VRS_A,0,2.0,0.507,7L0Z_G
7,4EN5_A,0,2.0,0.507,7L0Z_G
8,4ENC_A,0,2.0,0.507,7L0Z_G
9,3WRU_A,0,4.0,0.9570000000000001,4GPW_A
10,3WRU_B,0,4.0,0.9570000000000001,4GPW_A
11,4GPY_A,0,4.0,0.9570000000000001,4GPW_A
12,4GPY_B,0,4.0,0.9570000000000001,4GPW_A
13,4PDQ_A,0,4.0,0.9570000000000001,4GPW_A
14,4PDQ_B,0,4.0,0.9570000000000001,4GPW_A
15,5Z1H_A,0,4.0,0.9570000000000001,4GPW_A
16,5Z1H_B,0,4.0,0.9570000000000001,4GPW_A
17,6JBF_A,0,4.0,0.9570000000000001,4GPW_A
18,6JBF_B,0,4.0,0.9570000000000001,4GPW_A
19,6JBF_C,0,4.0,0.9570000000000001,4GPW_A
20,6JBF_D,0,4.0,0.9570000000000001,4GPW_A
21,6JBG_C,0,4.0,0.9570000000000001,4GPW_A
22,6JBG_D,0,4.0,0.9570000000000001,4GPW_A
23,402D_B,0,0.0,0.625,1RXA_A
24,402D_A,0,0.0,0.625,1RXA_A
25,413D_A,0,2.0,0.643,255D_A
26,420D_B,0,0.0,0.938,1Z7F_A
27,420D_A,0,0.0,0.938,1Z7F_A
28,422D_B,0,2.0,0.615,1SDR_D
29,422D_A,0,2.0,0.615,1SDR_D
30,433D_B,0,0.0,0.625,2OE5_A
31,433D_A,0,0.0,0.625,2OE5_A
32,434D_A,0,2.0,0.857,435D_C
33,434D_C,0,2.0,0.857,435D_C
34,464D_A,0,2.0,0.857,435D_C
35,464D_C,0,2.0,0.857,435D_C
36,466D_A,0,2.0,0.857,435D_C
37,466D_C,0,2.0,0.857,435D_C
38,4U37_A,0,2.0,0.857,435D_C
39,4U38_A,0,2.0,0.857,435D_C
40,4U38_C,0,2.0,0.857,435D_C
41,4U38_E,0,2.0,0.857,435D_C
42,4U38_G,0,2.0,0.857,435D_C
43,5TKO_A,0,2.0,0.857,435D_C
44,5TKO_C,0,2.0,0.857,435D_C
45,434D_B,0,0.0,0.857,4U34_B
46,434D_D,0,0.0,0.857,4U34_B
47,435D_B,0,0.0,0.857,4U34_B
48,435D_D,0,0.0,0.857,4U34_B
49,466D_B,0,0.0,0.857,4U34_B
50,466D_D,0,0.0,0.857,4U34_B
51,435D_C,0,1.0,0.857,434D_A
52,435D_A,0,1.0,0.857,434D_A
53,438D_B,0,1.0,0.667,1SA9_A
54,438D_A,0,1.0,0.667,1SA9_A
55,439D_A,0,0.0,0.7,1DQH_B
56,439D_B,0,1.0,0.556,402D_B
57,472D_A,0,4.0,0.875,4JAB_B
58,472D_B,0,0.0,0.625,435D_C
59,488D_B,0,1.0,0.8,1Q29_B
60,488D_C,0,4.0,0.6,6UFJ_E
61,4C40_A,0,0.0,0.619,7EAG_A
62,4CS1_A,0,0.0,0.619,7EAG_A
63,5FJ0_A,0,0.0,0.619,7EAG_A
64,5FJ0_B,0,0.0,0.619,7EAG_A
65,5FJ0_C,0,0.0,0.619,7EAG_A
66,4E48_A,0,1.0,0.9,1ZEV_A
67,4E48_B,0,1.0,0.9,1ZEV_A
68,4E48_D,0,1.0,0.9,1ZEV_A
69,4E59_B,0,4.0,0.75,6QIR_A
70,4E59_A,0,4.0,0.75,6QIR_A
71,4E5C_B,0,4.0,0.667,4E48_A
72,4E5C_A,0,4.0,0.667,4E48_A
73,4E6B_B,0,1.0,0.667,1OSU_A
74,4E6B_A,0,1.0,0.667,1OSU_A
75,4E6B_F,0,2.0,0.6,4E6B_B
76,4E6B_E,0,2.0,0.6,4E6B_B
77,4E8K_B,0,4.0,0.8,4FAW_B
78,4FAW_B,0,0.0,0.8,4E8K_B
