AC,label-val,cluster
1KXK_A,0,0
2QWY_A,0,0
2OE5_B,0,0
1I9X_A,0,0
3NPN_A,0,0
2YGH_A,0,0
7ELP_A,0,0
1LC4_A,0,0
6C63_A,0,0
6L0Y_A,0,0
6H0R_A,0,0
4ZNP_A,0,0
3GCA_A,0,0
3ND3_A,0,0
6MJ0_A,0,0
1RNA_A,0,0
B,0,0
2A64_A,0,0
387D_A,0,0
3FO4_A,0,0
5KPY_A,0,0
6CB3_A,0,0
2QUW_B,0,0
4ZC7_A,0,1
7OA3_A,0,1
4OQU_A,0,1
1YKQ_B,0,1
2OIU_P,0,1
4P95_A,0,1
3SYW_A,0,1
3DIG_X,0,1
5TPY_A,0,1
6IA2_A,0,1
4MEG_B,0,1
3SD3_A,0,1
357D_C,0,1
X,0,1
7EZ2_N,0,1
5BJP_E,0,1
6UFG_B,0,1
3GS5_A,0,1
6E8S_A,0,1
4RBQ_A,0,1
4YB0_A,0,1
2R22_A,0,1
3B31_A,0,1
5BTM_A,0,2
6JXM_B,0,2
5UNE_A,0,2
6E7L_A,0,2
3SUH_X,0,2
7JRS_A,0,2
2CKY_A,0,2
5V3F_A,0,2
5OB3_A,0,2
4XW7_A,0,2
1MME_B,0,2
2IL9_A,0,2
5LYU_A,0,2
6PMO_A,0,2
1Z43_A,0,2
2A43_A,0,2
5DH7_A,0,2
4Y1M_A,0,2
6DLR_A,0,2
4K27_U,0,2
6QN3_A,0,2
6D3P_A,0,2
5MWI_A,0,3
7JNH_A,0,3
1FG0_A,0,3
1P9X_0,0,3
5M0H_A,0,3
1U9S_A,0,3
6DVK_H,0,3
1T0E_A,0,3
3R4F_A,0,3
4QLM_A,0,3
4KZ2_C,0,3
7LYJ_A,0,3
3A3A_A,0,3
3B4A_A,0,3
7D81_A,0,3
2ZY6_A,0,3
5BTP_A,0,3
3GS5_C,0,3
5V3I_A,0,3
6OL3_C,0,3
1NTA_A,0,3
A,0,3
1K9W_A,0,4
4P43_A,0,4
5J01_A,0,4
4FRN_A,0,4
2HOK_A,0,4
1Q93_A,0,4
6SVS_A,0,4
1DDY_A,0,4
3SKI_B,0,4
6PMO_B,0,4
3VRS_A,0,4
3FU2_A,0,4
4KZ2_A,0,4
6JQ5_A,0,4
1Y26_X,0,4
6UFJ_A,0,4
7JRT_A,0,4
7LYF_A,0,4
6V9B_B,0,4
1NBS_A,0,4
1MHK_L,0,4
5C5W_A,0,4
