,AC,label-val,cluster,max_ident_other,closest_other
0,1KXK_A,0,0,0.506,5BTM_A
1,2QWY_A,0,0,0.49200000000000005,5DH7_A
2,2OE5_B,0,0,0.5,1T0E_A
3,1I9X_A,0,0,0.43799999999999994,1MHK_L
4,3NPN_A,0,0,0.532,2OIU_P
5,2YGH_A,0,0,0.496,4FRN_A
6,7ELP_A,0,0,0.509,5M0H_A
7,1LC4_A,0,0,0.7829999999999999,4P43_A
8,6C63_A,0,0,0.703,5V3F_A
9,6L0Y_A,0,0,0.625,6E7L_A
10,6H0R_A,0,0,0.514,3B31_A
11,4ZNP_A,0,0,0.649,4XW7_A
12,3GCA_A,0,0,0.47600000000000003,1DDY_A
13,3ND3_A,0,0,0.5,4RBQ_A
14,6MJ0_A,0,0,0.45,4YB0_A
15,1RNA_A,0,0,0.5,4KZ2_A
16,B,0,0,0.467,4FRN_A
17,2A64_A,0,0,0.43799999999999994,5J01_A
18,387D_A,0,0,0.529,3B4A_A
19,3FO4_A,0,0,0.564,1Y26_X
20,5KPY_A,0,0,0.5,6PMO_A
21,6CB3_A,0,0,0.5529999999999999,4Y1M_A
22,2QUW_B,0,0,0.516,5DH7_A
23,4ZC7_A,0,1,0.47700000000000004,3A3A_A
24,7OA3_A,0,1,0.45799999999999996,A
25,4OQU_A,0,1,0.488,6DLR_A
26,1YKQ_B,0,1,0.474,2A43_A
27,2OIU_P,0,1,0.532,3NPN_A
28,4P95_A,0,1,0.419,5V3I_A
29,3SYW_A,0,1,0.48100000000000004,6E7L_A
30,3DIG_X,0,1,0.45399999999999996,7JRT_A
31,5TPY_A,0,1,0.525,4XW7_A
32,6IA2_A,0,1,0.5,1MME_B
33,4MEG_B,0,1,0.5,7JRT_A
34,3SD3_A,0,1,0.5710000000000001,3SUH_X
35,357D_C,0,1,0.568,6V9B_B
36,X,0,1,0.485,4FRN_A
37,7EZ2_N,0,1,0.405,5J01_A
38,5BJP_E,0,1,0.634,6C63_A
39,6UFG_B,0,1,0.722,A
40,3GS5_A,0,1,0.517,1LC4_A
41,6E8S_A,0,1,0.6829999999999999,6C63_A
42,4RBQ_A,0,1,0.5,3ND3_A
43,4YB0_A,0,1,0.45,6MJ0_A
44,2R22_A,0,1,0.478,1LC4_A
45,3B31_A,0,1,0.529,1Q93_A
46,5BTM_A,0,2,0.552,5M0H_A
47,6JXM_B,0,2,0.711,6PMO_B
48,5UNE_A,0,2,0.521,1DDY_A
49,6E7L_A,0,2,0.64,1NTA_A
50,3SUH_X,0,2,0.5710000000000001,3SD3_A
51,7JRS_A,0,2,0.426,6OL3_C
52,2CKY_A,0,2,0.682,2HOK_A
53,5V3F_A,0,2,0.703,6C63_A
54,5OB3_A,0,2,0.507,3VRS_A
55,4XW7_A,0,2,0.649,4ZNP_A
56,1MME_B,0,2,0.516,3B4A_A
57,2IL9_A,0,2,0.473,1NBS_A
58,5LYU_A,0,2,0.48100000000000004,6UFG_B
59,6PMO_A,0,2,0.524,A
60,1Z43_A,0,2,0.491,2HOK_A
61,2A43_A,0,2,0.5,3GS5_A
62,5DH7_A,0,2,0.528,5M0H_A
63,4Y1M_A,0,2,0.5529999999999999,6CB3_A
64,6DLR_A,0,2,0.547,6OL3_C
65,4K27_U,0,2,0.493,5TPY_A
66,6QN3_A,0,2,0.508,7D81_A
67,6D3P_A,0,2,0.483,7D81_A
68,5MWI_A,0,3,0.5,6E7L_A
69,7JNH_A,0,3,0.244,6JQ5_A
70,1FG0_A,0,3,0.401,5J01_A
71,1P9X_0,0,3,0.10099999999999999,2A64_A
72,5M0H_A,0,3,0.552,5BTM_A
73,1U9S_A,0,3,0.48,4MEG_B
74,6DVK_H,0,3,0.509,6JXM_B
75,1T0E_A,0,3,0.5,2OE5_B
76,3R4F_A,0,3,0.456,6CB3_A
77,4QLM_A,0,3,0.46,7JRT_A
78,4KZ2_C,0,3,0.45,5C5W_A
79,7LYJ_A,0,3,0.5,6PMO_B
80,3A3A_A,0,3,0.519,6UFG_B
81,3B4A_A,0,3,0.529,387D_A
82,7D81_A,0,3,0.508,6QN3_A
83,2ZY6_A,0,3,0.465,357D_C
84,5BTP_A,0,3,0.624,4ZNP_A
85,3GS5_C,0,3,0.512,5BJP_E
86,5V3I_A,0,3,0.428,2IL9_A
87,6OL3_C,0,3,0.527,6DLR_A
88,1NTA_A,0,3,0.64,6E7L_A
89,A,0,3,0.722,6UFG_B
90,1K9W_A,0,4,0.478,1T0E_A
91,4P43_A,0,4,0.7829999999999999,1LC4_A
92,5J01_A,0,4,0.43799999999999994,2A64_A
93,4FRN_A,0,4,0.496,2YGH_A
94,2HOK_A,0,4,0.682,2CKY_A
95,1Q93_A,0,4,0.529,3B31_A
96,6SVS_A,0,4,0.41200000000000003,B
97,1DDY_A,0,4,0.521,5UNE_A
98,3SKI_B,0,4,0.47700000000000004,5KPY_A
99,6PMO_B,0,4,0.711,6JXM_B
100,3VRS_A,0,4,0.507,5OB3_A
101,3FU2_A,0,4,0.579,3GCA_A
102,4KZ2_A,0,4,0.5,1LC4_A
103,6JQ5_A,0,4,0.451,5OB3_A
104,1Y26_X,0,4,0.564,3FO4_A
105,6UFJ_A,0,4,0.516,3NPN_A
106,7JRT_A,0,4,0.5,4MEG_B
107,7LYF_A,0,4,0.514,6JXM_B
108,6V9B_B,0,4,0.568,6C63_A
109,1NBS_A,0,4,0.473,2IL9_A
110,1MHK_L,0,4,0.43799999999999994,1I9X_A
111,5C5W_A,0,4,0.522,6E7L_A
