AC,label-val,cluster
7MKY_A,0,0
7JNH_A,0,0
2OE8_B,0,0
5Z1I_A,0,0
1CSL_A,0,0
413D_A,0,0
3GVN_A,0,0
6D3P_A,0,0
6T3K_B,0,0
5CNR_E,0,0
1ZX7_B,0,0
1Y26_X,0,0
3BNL_A,0,0
5V3F_B,0,0
4FNJ_A,0,0
6DVK_H,0,0
1F27_A,0,0
4ZC7_A,0,0
5FJ1_A,0,0
4E6B_B,0,0
3R1C_A,0,0
3CGS_B,0,0
4JRD_B,0,0
3G78_Z,0,0
5VCF_B,0,0
3NJ6_A,0,0
361D_B,0,0
1OSU_A,0,0
6JJH_B,0,0
4P95_A,0,0
4E5C_B,0,0
4QLN_A,0,0
6QN3_B,0,0
6V9B_B,0,0
1I9X_B,0,0
6SVS_B,0,0
354D_A,0,0
4E48_A,0,0
4K31_B,0,0
3FTM_C,0,0
6HU6_A,0,0
3B31_B,0,0
3P22_H,0,0
4LVV_A,0,0
1X9K_A,0,0
4KYY_B,0,0
1NLC_A,0,0
5ML7_B,0,0
6PMO_A,0,0
1DUQ_A,0,0
5KVJ_B,0,0
4KZ2_A,0,0
205D_B,0,0
5V3I_A,0,0
2HOK_A,0,0
397D_A,0,0
3SYW_A,0,0
2OE5_A,0,0
1KD3_A,0,0
4PHY_A,0,0
6IA2_B,0,0
397D_B,0,0
5CNR_F,0,0
3IGI_B,0,0
157D_A,0,0
1Z7F_A,0,1
3TZR_A,0,1
3GS5_A,0,1
4J50_A,0,1
4E6B_F,0,1
434D_A,0,1
4PCO_A,0,1
5C5W_A,0,1
5BTP_A,0,1
434D_B,0,1
2A43_A,0,1
1CSL_B,0,1
6JQ5_A,0,1
5XZ1_A,0,1
3P22_F,0,1
6DLR_A,0,1
1Q29_A,0,1
4C40_A,0,1
420D_B,0,1
4Y1M_B,0,1
4QJD_A,0,1
1QCU_C,0,1
2XSL_D,0,1
7EAG_A,0,1
1Z43_A,0,1
5K8H_A,0,1
1L3Z_B,0,1
4MCE_A,0,1
1U9S_A,0,1
5VJ9_A,0,1
6UFM_A,0,1
5KVJ_A,0,1
2QUW_D,0,1
2NOK_A,0,1
X,0,1
1T0E_C,0,1
1J8G_A,0,1
6C63_A,0,1
433D_B,0,1
4FRN_B,0,1
4L81_A,0,1
4JRT_B,0,1
1YKQ_B,0,1
1QC0_D,0,1
3GVN_B,0,1
5UNE_B,0,1
5LYU_A,0,1
1MHK_L,0,1
6E8S_A,0,1
1QC0_B,0,1
1ZFX_B,0,1
1F27_B,0,1
6UFJ_E,0,1
1Q93_A,0,1
1GID_A,0,1
4P97_C,0,1
280D_A,0,1
1RXA_A,0,1
3F4E_X,0,1
4P43_B,0,1
3BNP_A,0,1
4NFO_A,0,1
3GCA_A,0,1
3F4E_Y,0,1
5BJP_E,0,1
1YKQ_A,0,2
2V7R_A,0,2
3SKI_B,0,2
488D_B,0,2
2OE8_A,0,2
3FS0_A,0,2
3FS0_B,0,2
3BNN_A,0,2
1NTB_A,0,2
5MWI_A,0,2
3P59_B,0,2
3CGR_B,0,2
B,0,2
1KXK_A,0,2
4E59_B,0,2
3FTM_D,0,2
6UFJ_A,0,2
1DUQ_B,0,2
6HU6_F,0,2
1T0E_A,0,2
3SUH_X,0,2
3TZR_B,0,2
1MSY_A,0,2
1K9W_A,0,2
472D_B,0,2
1X9C_C,0,2
7L0Z_G,0,2
4U34_B,0,2
3B31_A,0,2
439D_B,0,2
4MGM_A,0,2
6CB3_A,0,2
2XSL_C,0,2
353D_A,0,2
5G4T_B,0,2
3GLP_A,0,2
6AZ4_A,0,2
1P79_A,0,2
3WRU_A,0,2
3BNP_B,0,2
5NXT_U,0,2
6JXM_B,0,2
6L0Y_B,0,2
6OL3_C,0,2
5TPY_A,0,2
4MS9_A,0,2
3P22_D,0,2
5DA6_A,0,2
5BTM_B,0,2
2A64_A,0,2
4MEG_B,0,2
7LYF_A,0,2
2O44_A,0,2
1QC0_A,0,2
1SA9_A,0,2
1SDR_D,0,2
1SDR_C,0,2
2V6W_A,0,2
6E7L_A,0,2
2ZY6_A,0,2
5VGW_B,0,2
4GPW_A,0,2
1NUJ_A,0,2
3P22_B,0,2
4FRG_X,0,2
5M0H_A,0,3
3FU2_A,0,3
4FAW_B,0,3
1RNA_B,0,3
2OE5_B,0,3
6PQ7_C,0,3
4KZ2_C,0,3
2W89_C,0,3
438D_B,0,3
3K1V_A,0,3
2CKY_A,0,3
255D_A,0,3
1ZEV_A,0,3
1ZFV_B,0,3
3SJ2_B,0,3
7LNE_A,0,3
6Y0T_B,0,3
1NUJ_B,0,3
1DQH_A,0,3
4U35_B,0,3
4U3L_A,0,3
5EW4_A,0,3
A,0,3
2OIU_Q,0,3
364D_B,0,3
3SJ2_A,0,3
1Q9A_A,0,3
3B4A_A,0,3
5V9Z_B,0,3
7EZ2_B,0,3
1X9K_B,0,3
6G7Z_A,0,3
3ND3_A,0,3
1FG0_A,0,3
1NTB_B,0,3
4XWF_A,0,3
2D2K_D,0,3
7EZ0_N,0,3
6HU6_B,0,3
3CGQ_B,0,3
1NBS_B,0,3
1J7T_A,0,3
6HU6_E,0,3
5VCF_A,0,3
283D_A,0,3
1ZFV_A,0,3
1X9C_B,0,3
1XPE_A,0,3
402D_B,0,3
1LC4_A,0,3
3GS5_C,0,3
7OA3_A,0,3
6R47_B,0,3
2G3S_A,0,3
2NOK_D,0,3
1DQH_B,0,3
1QC0_C,0,3
6JBG_B,0,3
1ZX7_A,0,3
3FO4_A,0,3
353D_B,0,3
4JRT_A,0,3
4JRD_A,0,3
5T3K_C,0,3
2VAL_B,0,3
6UGJ_A,0,4
2R22_B,0,4
7JRT_B,0,4
2F4S_A,0,4
4KZ2_B,0,4
1MME_A,0,4
2YGH_A,0,4
5KTJ_D,0,4
3R4F_A,0,4
4MCE_B,0,4
2VUQ_A,0,4
2VAL_D,0,4
1DDY_A,0,4
422D_B,0,4
4P97_D,0,4
4E8K_B,0,4
6YLB_B,0,4
6U8F_A,0,4
472D_A,0,4
4JAB_B,0,4
6MJ0_B,0,4
387D_A,0,4
7JRS_B,0,4
6QIR_A,0,4
2VUQ_B,0,4
1XP7_A,0,4
3BBM_C,0,4
5UEF_C,0,4
5G4T_A,0,4
7ELP_A,0,4
4ZNP_B,0,4
3NPQ_A,0,4
1MHK_S,0,4
2W89_D,0,4
5KPY_A,0,4
4YB0_R,0,4
1X9C_D,0,4
4PHY_B,0,4
3ND4_A,0,4
4K27_U,0,4
488D_C,0,4
7D82_A,0,4
2V6W_B,0,4
5EAQ_A,0,4
6G7Z_B,0,4
2V7R_B,0,4
2IL9_M,0,4
1T0D_D,0,4
1Q29_B,0,4
1QCU_D,0,4
3GS8_A,0,4
1MME_B,0,4
3VRS_A,0,4
4JIY_A,0,4
3MIJ_A,0,4
6H0R_B,0,4
3B5A_C,0,4
364D_C,0,4
435D_C,0,4
3EOH_B,0,4
439D_A,0,4
2QWY_A,0,4
2FQN_A,0,4
6AZ4_B,0,4
3DIG_X,0,4
