,AC,label-val,cluster,max_ident_other,closest_other
0,7MKY_A,0,0,0.493,3VRS_A
1,7JNH_A,0,0,0.39299999999999996,4JRD_A
2,2OE8_B,0,0,0.889,2OE5_B
3,5Z1I_A,0,0,0.9129999999999999,4GPW_A
4,1CSL_A,0,0,0.5379999999999999,4MS9_A
5,413D_A,0,0,0.643,255D_A
6,3GVN_A,0,0,0.7140000000000001,2V6W_A
7,6D3P_A,0,0,0.526,5EAQ_A
8,6T3K_B,0,0,0.75,434D_B
9,5CNR_E,0,0,0.882,4P97_C
10,1ZX7_B,0,0,0.812,1T0D_D
11,1Y26_X,0,0,0.564,3FO4_A
12,3BNL_A,0,0,0.9570000000000001,1LC4_A
13,5V3F_B,0,0,0.703,6C63_A
14,4FNJ_A,0,0,0.675,6AZ4_A
15,6DVK_H,0,0,0.509,6JXM_B
16,1F27_A,0,0,0.579,4P97_D
17,4ZC7_A,0,0,0.475,X
18,5FJ1_A,0,0,0.556,4GPW_A
19,4E6B_B,0,0,0.6,4E6B_F
20,3R1C_A,0,0,0.75,4E59_B
21,3CGS_B,0,0,0.9229999999999999,3CGQ_B
22,4JRD_B,0,0,1.0,4JRD_A
23,3G78_Z,0,0,0.556,3EOH_B
24,5VCF_B,0,0,0.9229999999999999,5VGW_B
25,3NJ6_A,0,0,0.8,6QIR_A
26,361D_B,0,0,0.591,5VJ9_A
27,1OSU_A,0,0,0.7140000000000001,2VAL_D
28,6JJH_B,0,0,0.667,3SJ2_B
29,4P95_A,0,0,0.688,6G7Z_A
30,4E5C_B,0,0,0.65,1ZEV_A
31,4QLN_A,0,0,0.46299999999999997,6OL3_C
32,6QN3_B,0,0,0.508,7D82_A
33,6V9B_B,0,0,0.568,6C63_A
34,1I9X_B,0,0,0.5,5NXT_U
35,6SVS_B,0,0,0.41200000000000003,B
36,354D_A,0,0,0.632,364D_B
37,4E48_A,0,0,0.9,1ZEV_A
38,4K31_B,0,0,0.9570000000000001,2FQN_A
39,3FTM_C,0,0,0.818,3FS0_A
40,6HU6_A,0,0,0.545,2NOK_D
41,3B31_B,0,0,0.647,3ND4_A
42,3P22_H,0,0,1.0,3P22_F
43,4LVV_A,0,0,0.58,3SUH_X
44,1X9K_A,0,0,0.643,1ZFV_A
45,4KYY_B,0,0,0.529,1ZFX_B
46,1NLC_A,0,0,0.9570000000000001,1XP7_A
47,5ML7_B,0,0,0.47200000000000003,1Z43_A
48,6PMO_A,0,0,0.524,A
49,1DUQ_A,0,0,0.643,4JRT_A
50,5KVJ_B,0,0,0.625,4P97_D
51,4KZ2_A,0,0,0.609,364D_B
52,205D_B,0,0,0.917,255D_A
53,5V3I_A,0,0,0.455,1GID_A
54,2HOK_A,0,0,0.682,2CKY_A
55,397D_A,0,0,0.6,3FS0_B
56,3SYW_A,0,0,0.8420000000000001,4J50_A
57,2OE5_A,0,0,0.882,2OE8_A
58,1KD3_A,0,0,0.667,283D_A
59,4PHY_A,0,0,0.5379999999999999,4P97_C
60,6IA2_B,0,0,0.65,3ND4_A
61,397D_B,0,0,0.583,255D_A
62,5CNR_F,0,0,0.6920000000000001,4P97_D
63,3IGI_B,0,0,0.6,3CGQ_B
64,157D_A,0,0,0.6920000000000001,3CGQ_B
65,1Z7F_A,0,1,0.632,2OE8_B
66,3TZR_A,0,1,0.609,6E7L_A
67,3GS5_A,0,1,0.536,3BNL_A
68,4J50_A,0,1,0.8420000000000001,3SYW_A
69,4E6B_F,0,1,0.6,4E6B_B
70,434D_A,0,1,0.857,435D_C
71,4PCO_A,0,1,0.667,3FS0_A
72,5C5W_A,0,1,0.55,3BBM_C
73,5BTP_A,0,1,0.624,4ZNP_B
74,434D_B,0,1,0.857,4U34_B
75,2A43_A,0,1,0.5,1X9C_C
76,1CSL_B,0,1,0.688,1DUQ_B
77,6JQ5_A,0,1,0.451,7L0Z_G
78,5XZ1_A,0,1,0.9570000000000001,2FQN_A
79,3P22_F,0,1,1.0,3P22_H
80,6DLR_A,0,1,0.547,6OL3_C
81,1Q29_A,0,1,0.941,1MME_A
82,4C40_A,0,1,0.579,397D_A
83,420D_B,0,1,0.562,7LNE_A
